pow_rmst,pow_ph,eff_rmst_cox,frac_post_tau,mean_tau,scenario_id,event_rate,recruitment_speed,max_t
0.7883,0.8832,0.7674518933293132,0,2.999999829853473,1,Low,Instant,3
0.7883,0.9244,0.661039046911389,0.13311272391392545,3,2,Low,Instant,3.5
0.7877,0.8566,0.8314485768532981,0,2.999149311493337,3,Low,Fast,3
0.7883,0.9042,0.7144798520171936,0.07149199622377556,3,4,Low,Fast,3.5
0.769,0.7923,0.9439523654789655,1.0727638769053782e-6,2.9974485119427667,5,Low,Moderate,3
0.7826,0.8555,0.8235937602882423,0.027888193608659118,3,6,Low,Moderate,3.5
0.6877,0.6874,1.0006923579518894,2.066974369687553e-6,2.995747548205545,7,Low,Slow,3
0.7559,0.7913,0.9168047184925632,0.02031096096409934,3,8,Low,Slow,3.5
0.8023,0.8715,0.8250244611147953,0,2.999998854700574,9,Moderate,Instant,3
0.8023,0.9043,0.7399761802744834,0.10058890490573157,3,10,Moderate,Instant,3.5
0.7993,0.8489,0.8753857433812103,7.604203222303385e-6,2.9942870660266356,11,Moderate,Fast,3
0.8023,0.8917,0.7731424117344965,0.05385702252915164,3,12,Moderate,Fast,3.5
0.7776,0.7861,0.979150958792798,1.5959616931909415e-5,2.9829434218188817,13,Moderate,Moderate,3
0.7997,0.8481,0.8782784310665576,0.020393246448566164,3,14,Moderate,Moderate,3.5
0.6999,0.6959,1.0092978674440312,4.900337834285727e-5,2.9716926016307936,15,Moderate,Slow,3
0.7639,0.78,0.9613716137628678,0.014419533935701893,3,16,Moderate,Slow,3.5
0.8824,0.9038,0.9299123454646283,0,2.9999916544285203,17,High,Instant,3
0.8824,0.9165,0.8867951212709542,0.04285899431605975,3,18,High,Instant,3.5
0.8793,0.894,0.9528212457375942,1.738279494268662e-4,2.9602877991132144,19,High,Fast,3
0.8824,0.9097,0.9100629672802792,0.02296211445718641,3,20,High,Fast,3.5
0.8622,0.8653,0.9907612805332949,4.6834684693055923e-4,2.890449404722649,21,High,Moderate,3
0.878,0.8903,0.9608203016959204,0.008184536722810049,2.999367900292085,22,High,Moderate,3.5
0.8004,0.8032,0.9928632356810013,7.991448701034849e-4,2.829183818354877,23,High,Slow,3
0.8534,0.8558,0.9930551641359976,0.005517803575857304,2.9930345452655813,24,High,Slow,3.5
