"pow_rmst","pow_ph","eff_rmst_cox","frac_post_tau","scenario_id","event_rate","recruitment_speed","max_t"
0.7883,0.8821,0.770180267936613,0.000307911219669562,1,"Low","Instant",3.001
0.7883,0.9656,0.533411273736291,0.311142235384603,2,"Low","Instant",4.5
0.788,0.8553,0.835233034539061,8.45699982120508e-07,3,"Low","Fast",3.001
0.7883,0.9594,0.555516760309258,0.274478393426969,4,"Low","Fast",4.5
0.7689,0.7905,0.948002554777524,1.07276387690538e-06,5,"Low","Moderate",3.001
0.7883,0.9382,0.6221410800819,0.185654250229561,6,"Low","Moderate",4.5
0.6874,0.685,1.00555065524933,2.01869084885321e-06,7,"Low","Slow",3.001
0.7875,0.9037,0.714335142361863,0.127462851344088,8,"Low","Slow",4.5
0.8023,0.8703,0.828073215415454,0.00021507171216967,9,"Moderate","Instant",3.001
0.8023,0.9423,0.632037178745721,0.232231427881333,10,"Moderate","Instant",4.5
0.7996,0.8474,0.879804176856614,6.26116872973597e-06,11,"Moderate","Fast",3.001
0.8023,0.936,0.651181820658587,0.205106522054365,12,"Moderate","Fast",4.5
0.7777,0.7842,0.984037438463917,1.54511664540587e-05,13,"Moderate","Moderate",3.001
0.8023,0.9134,0.715437615835132,0.137326591596904,14,"Moderate","Moderate",4.5
0.7005,0.6938,1.0156190976058,4.58322512836931e-05,15,"Moderate","Slow",3.001
0.802,0.8858,0.787822961794678,0.0914205828016901,16,"Moderate","Slow",4.5
0.8824,0.9032,0.931915457684757,0.000102597369934674,17,"High","Instant",3.001
0.8824,0.9279,0.846596665887084,0.0918243021336682,18,"High","Instant",4.5
0.8792,0.893,0.955759087216851,0.000173819590611277,19,"High","Fast",3.001
0.8824,0.9264,0.851986050524273,0.0824466226377933,20,"High","Fast",4.5
0.862,0.8638,0.994641180526316,0.000467490179212436,21,"High","Moderate",3.001
0.8824,0.9172,0.88437290308806,0.0553664533525788,22,"High","Moderate",4.5
0.8009,0.801,0.999744618248822,0.000799463489191284,23,"High","Slow",3.001
0.8805,0.9033,0.925918665254858,0.0349267875597499,24,"High","Slow",4.5
